"org::hibernate::engine::jdbc::ReaderInputStream","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","17","17","20","20","20","20","17","20","20","17","17","20","20","19","22","19","19","19","19","23","20","20","20","20","23","20","20","20","20","23","20","23","20","23","20","12","17","17","20","17","17","20","20","20","17","17","17","17","17","20","20","17","17","17","17","17","20","17","17","17","17","20","20","17","14","20","17","20","17","20","20","17","17","17","17","11","20"
"org::hibernate::cfg::annotations::Version","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","17","14","14","14","14","17","14","14","14","14","17","14","17","14","17","14","6","11","11","14","11","11","14","14","14","11","11","11","11","11","14","14","11","11","11","11","11","14","11","11","11","11","14","14","11","8","14","11","14","11","14","14","11","11","11","11","6","14"
"org::hibernate::bytecode::buildtime::JavassistInstrumenter","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","26","26","23","23","23","23","23","26","23","23","23","26","23","26","26","23","26","23","24","24","27","27","27","27","24","27","27","24","24","27","27","26","29","26","26","26","26","29","26","26","26","26","29","26","26","26","26","29","26","29","26","29","26","18","23","23","26","23","23","26","26","26","23","23","23","23","23","26","26","23","23","23","23","23","26","23","23","23","23","26","26","23","20","26","23","26","23","26","26","23","23","23","23","18","26"
"org::hibernate::engine::transaction::NullSynchronizationException","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","28","31","28","28","28","28","31","28","28","28","28","31","28","31","28","31","28","20","25","25","28","25","25","28","28","28","25","25","25","25","25","28","28","25","25","25","25","25","28","25","25","25","25","28","28","25","22","28","25","28","25","28","28","25","25","25","25","16","28"
"org::hibernate::engine::query::ParameterParserTest","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","10","13","14","11","14","11","14","11","11","14","11","14","14","11","11","11","11","11","14","11","11","11","14","11","14","14","11","14","11","12","12","15","15","15","15","12","15","15","12","12","15","15","14","17","14","14","14","14","17","14","14","14","14","17","14","14","14","14","17","14","17","14","17","14","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"org::hibernate::PersistentObjectException","55","58","55","55","55","55","55","58","58","58","55","58","58","55","55","58","55","58","55","55","55","55","55","55","58","58","58","55","55","55","55","58","58","55","55","58","59","56","59","56","59","56","56","59","56","60","60","57","57","57","57","25","28","25","25","25","28","25","28","28","25","28","25","26","26","29","29","29","29","26","29","29","26","26","29","29","28","31","28","28","28","28","31","28","28","28","28","31","28","28","28","28","31","28","31","28","31","28","20","25","25","28","25","25","28","28","28","25","25","25","25","25","28","28","25","25","25","25","25","28","25","25","25","25","28","28","25","22","28","25","28","25","28","28","25","25","25","25","16","28"
"org::hibernate::bytecode::javassist::ProxyFactoryFactoryImpl::BasicProxyFactoryImpl","11","14","11","11","11","11","11","14","14","14","11","14","14","11","11","14","11","14","11","11","11","11","11","11","14","14","14","11","11","11","11","14","14","11","11","14","15","12","15","12","15","12","12","15","12","15","15","12","12","12","12","12","15","12","12","12","15","12","15","15","12","15","12","13","13","16","16","16","16","13","16","16","13","13","16","16","15","18","15","15","15","15","18","15","15","15","15","18","15","15","15","15","18","15","18","15","18","15","7","12","12","15","12","12","15","15","15","12","12","12","12","12","15","15","12","12","12","12","12","15","12","12","12","12","15","15","12","9","15","12","15","12","15","15","12","12","12","12","7","15"
"org::hibernate::engine::profile::FetchProfile","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","13","10","10","13","14","11","14","11","14","11","11","14","11","14","14","11","11","11","11","11","14","11","11","11","14","11","14","14","11","14","11","12","12","15","15","15","15","12","15","15","12","12","15","15","14","17","14","14","14","14","17","14","14","14","14","17","14","14","14","14","17","14","17","14","17","14","6","11","11","14","11","11","14","14","14","11","11","11","11","11","14","14","11","11","11","11","11","14","11","11","11","11","14","14","11","8","14","11","14","11","14","14","11","11","11","11","6","14"
"org::hibernate::impl::QueryImpl","185","188","185","185","185","185","185","188","188","188","185","188","188","185","185","188","185","188","185","185","185","185","185","185","188","188","188","185","185","185","185","188","188","185","185","188","189","186","189","186","189","186","186","189","186","189","189","186","186","186","186","186","189","186","186","186","189","186","190","190","187","190","187","188","188","192","192","192","192","191","194","194","191","191","194","194","193","196","193","193","193","193","196","193","193","193","193","196","193","193","193","193","196","193","196","193","196","193","185","190","190","193","190","190","193","193","193","190","190","190","190","190","193","193","190","190","190","190","190","193","190","190","190","190","193","193","190","187","193","190","193","190","193","193","190","190","190","190","-1","193"
"org::hibernate::engine::Cascade","10","13","10","10","10","10","10","13","13","13","10","13","13","10","10","13","10","13","10","10","10","10","10","10","13","13","13","10","10","10","10","13","13","10","10","13","14","11","14","11","14","11","11","14","11","14","14","11","11","11","11","11","14","11","11","11","14","11","14","14","11","14","11","12","12","15","15","15","15","12","15","15","12","12","15","15","14","17","14","14","14","14","17","14","14","14","14","17","14","14","14","14","17","14","17","14","17","14","6","11","11","14","11","11","14","14","14","11","11","11","11","11","14","14","11","11","11","11","11","14","11","11","11","11","14","14","11","8","14","11","14","11","14","14","11","11","11","11","6","14"
